都道府県,病院名,診療科,住所,電話番号,特徴,対応言語
東京都,聖路加国際病院,総合内科・小児科・産婦人科等,東京都中央区明石町9-1,03-3541-5151,JCI認証・JMIP認証。国際外来があり24時間救急対応。通訳常駐。,英語
東京都,国立国際医療研究センター病院,総合診療科・感染症科・外科等,東京都新宿区戸山1-21-1,03-3202-7181,厚生労働省指定の国際拠点病院。多言語対応センター設置。,英語・中国語・韓国語・ベトナム語
東京都,東京都立広尾病院,救命救急センター・内科・外科等,東京都渋谷区恵比寿2-34-10,03-3444-1181,東京都の国際医療拠点病院。救急の多言語対応に強い。,英語・中国語・韓国語
東京都,NTT東日本関東病院,内科・外科・脳神経外科等,東京都品川区東五反田5-9-22,03-3448-4111,JCI認証取得。外国人患者専用のコンシェルジュ窓口あり。,英語・中国語
東京都,順天堂大学医学部附属順天堂医院,総合診療科・循環器内科等,東京都文京区本郷3-1-3,03-3813-3111,JCI認証。高度医療を提供し、外国人患者の受け入れ経験豊富。,英語・中国語
神奈川県,湘南鎌倉総合病院,救急科・循環器科・外科等,神奈川県鎌倉市岡本1370-1,0467-46-1717,JCI認証。24時間365日の救急対応と国際医療支援室完備。,英語・中国語・フランス語
神奈川県,横浜市立大学附属市民総合医療センター,総合診療科・救急科等,神奈川県横浜市南区浦舟町4-57,045-261-5656,地域課題に即した多言語対応。医療通訳ボランティア連携。,英語・中国語・韓国語
千葉県,成田赤十字病院,内科・小児科・外科等,千葉県成田市飯田町712,0476-22-2311,成田空港近く。空の玄関口として外国人救急受け入れ実績多数。,英語
埼玉県,さいたま赤十字病院,総合診療科・救急科等,埼玉県さいたま市中央区新都心1-5,048-852-1111,高度救命救急センター併設。医療通訳システム導入。,英語
茨城県,筑波大学附属病院,総合診療科・内科等,茨城県つくば市天久保2-1-1,029-853-3900,国際医療事務局を設置。研究学園都市の外国人居住者に対応。,英語・中国語
栃木県,獨協医科大学病院,総合診療科・内科等,栃木県下都賀郡壬生町北小林880,0282-86-1111,地域医療の拠点。外国人患者受け入れ体制整備中。,英語
群馬県,群馬大学医学部附属病院,内科・外科等,群馬県前橋市昭和町3-39-15,027-220-7111,国立大学病院として多言語翻訳機等を活用した診療体制。,英語
北海道,北海道大学病院,内科・歯科等,北海道札幌市北区北14条西5,011-716-1161,国際医療事務室設置。JMIP認証取得済。,英語・中国語・韓国語
大阪府,大阪大学医学部附属病院,総合診療科・内科等,大阪府吹田市山田丘2-15,06-6879-5111,国際医療センターを設置。高度な先端医療を外国人に提供。,英語・中国語
大阪府,りんくう総合医療センター,国際診療科・救急科等,大阪府泉佐野市りんくう往来北2-23,072-469-3111,関西空港至近。国際診療科があり多言語に精通。,英語・中国語・ポルトガル語・スペイン語
京都府,京都大学医学部附属病院,総合診療科・内科等,京都府京都市左京区聖護院川原町54,075-751-3111,国際診療サポートチームによる手厚い支援。,英語・中国語
愛知県,名古屋大学医学部附属病院,総合診療科・内科等,愛知県名古屋市昭和区鶴舞町65,052-741-2111,国際診療センター設置。多言語医療相談に対応。,英語・中国語
福岡県,九州大学病院,総合診療科・内科等,福岡県福岡市東区馬出3-1-1,092-641-1151,アジア圏の患者受け入れ実績豊富。国際医療支援室あり。,英語・中国語・韓国語
沖縄県,沖縄県立中部病院,内科・救急科等,沖縄県うるま市字宮里201-1,098-973-4111,米軍基地に近い特性上、英語での診療実績が非常に豊富。,英語
